mos_case_id,case_id,case_type,speechgender,item_name,face_file,style_file,style_prompt,content_prompt,source_wav_fp
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt,"With bright, unmistakable joy, the female speaker sounds young and lively, speaking at a normal pace with a high, energetic voice.","and cute. So, would love to do. That is all my goals for 2025 and my little mini wrap-up of 2024.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/pIYdfEbwsqI/clipped/pIYdfEbwsqI_00_11_39_94.wav
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt,"A female speaker delivers the line with a youthful, high-pitched voice and lively presence, while keeping the tone clear and neutral.",The fourth exercise is that you're going to start in a clothing store and finish in a bowling alley.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/GdQkyQrQawM/clipped/GdQkyQrQawM_00_06_28_07.wav
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt,"A female speaker delivers the line with bright, youthful joy, sounding lively, warm, and clearly delighted throughout.",And let's get on it. I am Asia Dang. Thank you so much for watching this channel. If you have.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/qUwE8TRhOk8/clipped/qUwE8TRhOk8_00_10_30_99.wav
case_04_F,easy_0015_2--6XzUxGBI_00_22_19_92,easy,F,2--6XzUxGBI_00_22_19_92,face/case_04_F_easy_2--6XzUxGBI_00_22_19_92.jpg,style/case_04_F_easy_2--6XzUxGBI_00_22_19_92.txt,"With bright, youthful excitement, the female speaker sounds vividly happy and energetic, delivering the line with lively, upbeat warmth.",to start writing me and Leanne and Kath are so excited to get working on those for you but yes.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/2--6XzUxGBI/clipped/2--6XzUxGBI_00_22_19_92.wav
case_05_F,easy_0086_53nShLQ1ewA_00_08_31_85,easy,F,53nShLQ1ewA_00_08_31_85,face/case_05_F_easy_53nShLQ1ewA_00_08_31_85.jpg,style/case_05_F_easy_53nShLQ1ewA_00_08_31_85.txt,"The female speaker sounds calm and neutral, speaking at a natural pace with an even, balanced voice.","And every aspect of your life, we all have habits.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/53nShLQ1ewA/clipped/53nShLQ1ewA_00_08_31_85.wav
case_06_F,hard_0219_4qkpjw5homQ_00_00_27_37,hard,F,4qkpjw5homQ_00_00_27_37,face/case_06_F_hard_4qkpjw5homQ_00_00_27_37.jpg,style/case_06_F_hard_4qkpjw5homQ_00_00_27_37.txt,"A female speaker delivers the line with bright, exuberant joy and lively momentum, sounding warmly animated and unmistakably upbeat.","In adults, the good news is that roundworms.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/4qkpjw5homQ/clipped/4qkpjw5homQ_00_00_27_37.wav
case_07_F,hard_0036_2OWduVCiOZ4_00_00_39_25,hard,F,2OWduVCiOZ4_00_00_39_25,face/case_07_F_hard_2OWduVCiOZ4_00_00_39_25.jpg,style/case_07_F_hard_2OWduVCiOZ4_00_00_39_25.txt,"With bright, unmistakable happiness, the female speaker delivers the line in a lively adult voice with a naturally high pitch.","believe me, the time pressure was intense. I think that helped make me more mindful of.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/2OWduVCiOZ4/clipped/2OWduVCiOZ4_00_00_39_25.wav
case_08_F,hard_0038_2qHsdAYa7qQ_00_01_58_84,hard,F,2qHsdAYa7qQ_00_01_58_84,face/case_08_F_hard_2qHsdAYa7qQ_00_01_58_84.jpg,style/case_08_F_hard_2qHsdAYa7qQ_00_01_58_84.txt,"The female speaker sounds like a happy adult, speaking with bright warmth, lively enthusiasm, and an unmistakably cheerful, expressive tone.",might discover that pickled herring or sauerkraut is delicious to you you've discovered a new food.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/2qHsdAYa7qQ/clipped/2qHsdAYa7qQ_00_01_58_84.wav
case_09_F,hard_0279_AViL1gDtfpU_00_08_22_19,hard,F,AViL1gDtfpU_00_08_22_19,face/case_09_F_hard_AViL1gDtfpU_00_08_22_19.jpg,style/case_09_F_hard_AViL1gDtfpU_00_08_22_19.txt,"In a bright, high-pitched voice, the female speaker sounds openly joyful while speaking at a natural, steady pace.",So then it was finally time to return back to work and that was incredibly hard.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/AViL1gDtfpU/clipped/AViL1gDtfpU_00_08_22_19.wav
case_10_F,hard_0268_9OXlZUfbsPI_00_13_12_24,hard,F,9OXlZUfbsPI_00_13_12_24,face/case_10_F_hard_9OXlZUfbsPI_00_13_12_24.jpg,style/case_10_F_hard_9OXlZUfbsPI_00_13_12_24.txt,"A female speaker delivers the line with a bright, high voice and clearly joyful, lively warmth at a natural pace.",Don't take offense. Gird up your loins and be more assertive.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/9OXlZUfbsPI/clipped/9OXlZUfbsPI_00_13_12_24.wav
case_11_M,easy_0218_tDOBDFfwWhI_00_02_24_00,easy,M,tDOBDFfwWhI_00_02_24_00,face/case_11_M_easy_tDOBDFfwWhI_00_02_24_00.jpg,style/case_11_M_easy_tDOBDFfwWhI_00_02_24_00.txt,"The male speaker sounds like an adult with a low voice, delivering the line neutrally but with lively presence at a normal pace.","within the relationship, when they've broken up with you, it can be such a demonstration.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/tDOBDFfwWhI/clipped/tDOBDFfwWhI_00_02_24_00.wav
case_12_M,easy_0103_BfCx8suZ9uI_00_04_06_98,easy,M,BfCx8suZ9uI_00_04_06_98,face/case_12_M_easy_BfCx8suZ9uI_00_04_06_98.jpg,style/case_12_M_easy_BfCx8suZ9uI_00_04_06_98.txt,"This male speaker has a low, grounded adult voice, speaking with brisk, energetic clarity while maintaining a neutral tone.",And the more arbitrary decisions you make.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/BfCx8suZ9uI/clipped/BfCx8suZ9uI_00_04_06_98.wav
case_13_M,easy_0269_5hvVjOqk_4o_00_05_45_97,easy,M,5hvVjOqk_4o_00_05_45_97,face/case_13_M_easy_5hvVjOqk_4o_00_05_45_97.jpg,style/case_13_M_easy_5hvVjOqk_4o_00_05_45_97.txt,"The male speaker sounds energetic yet neutral, with a low adult voice and a steady, natural speaking pace.",a lot more than just his tone it was all of those non-verbal cues all packaged into one kind of.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/5hvVjOqk_4o/clipped/5hvVjOqk_4o_00_05_45_97.wav
case_14_M,easy_0005_Cwgxm1TUfj8_00_07_28_75,easy,M,Cwgxm1TUfj8_00_07_28_75,face/case_14_M_easy_Cwgxm1TUfj8_00_07_28_75.jpg,style/case_14_M_easy_Cwgxm1TUfj8_00_07_28_75.txt,"This male speaker sounds warmly upbeat and distinctly joyful, speaking with lively adult confidence and an easy, infectious smile in the voice.",because that's where the joy is.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/Cwgxm1TUfj8/clipped/Cwgxm1TUfj8_00_07_28_75.wav
case_15_M,easy_0193_lw_dUKXNCyw_00_05_27_47,easy,M,lw_dUKXNCyw_00_05_27_47,face/case_15_M_easy_lw_dUKXNCyw_00_05_27_47.jpg,style/case_15_M_easy_lw_dUKXNCyw_00_05_27_47.txt,"This male speaker has a young, low-toned voice, speaking at a steady pace with calm, neutral energy.","it's really easy to make mistakes, to miss things. Oftentimes those things are really obvious to.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/lw_dUKXNCyw/clipped/lw_dUKXNCyw_00_05_27_47.wav
case_16_M,easy_0212_owtSR-9Cupo_00_01_01_57,easy,M,owtSR-9Cupo_00_01_01_57,face/case_16_M_easy_owtSR-9Cupo_00_01_01_57.jpg,style/case_16_M_easy_owtSR-9Cupo_00_01_01_57.txt,"The male speaker sounds like an energetic adult, speaking with a steady neutral tone and natural, confident presence.",Because this person thinks everyone is dumb except for them.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/owtSR-9Cupo/clipped/owtSR-9Cupo_00_01_01_57.wav
case_17_M,easy_0049_UCsDlaKhufk_00_08_16_17,easy,M,UCsDlaKhufk_00_08_16_17,face/case_17_M_easy_UCsDlaKhufk_00_08_16_17.jpg,style/case_17_M_easy_UCsDlaKhufk_00_08_16_17.txt,"The male speaker sounds vividly happy and upbeat, speaking with lively energy while keeping a natural, normal pitch.",I hope you enjoyed this video and I would love to hear from you.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/UCsDlaKhufk/clipped/UCsDlaKhufk_00_08_16_17.wav
case_18_M,easy_0070_yWjTFS5KgIU_00_01_51_05,easy,M,yWjTFS5KgIU_00_01_51_05,face/case_18_M_easy_yWjTFS5KgIU_00_01_51_05.jpg,style/case_18_M_easy_yWjTFS5KgIU_00_01_51_05.txt,"With a low, youthful voice and bright, exuberant happiness, the male speaker delivers the line at a natural pace.","Oh my goodness, and uh, I got.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/yWjTFS5KgIU/clipped/yWjTFS5KgIU_00_01_51_05.wav
case_19_M,hard_0082_H6lkLEaPT58_00_03_51_38,hard,M,H6lkLEaPT58_00_03_51_38,face/case_19_M_hard_H6lkLEaPT58_00_03_51_38.jpg,style/case_19_M_hard_H6lkLEaPT58_00_03_51_38.txt,"With bright, unmistakable happiness, the male speaker delivers the line in a youthful low voice that feels warm and lively.","This isn't just about becoming your best self, it's about being ready to receive the best that life has to offer you, including the love that you actually deserve.",/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/H6lkLEaPT58/clipped/H6lkLEaPT58_00_03_51_38.wav
case_20_M,hard_0196_2Ong6qegCkY_00_00_11_48,hard,M,2Ong6qegCkY_00_00_11_48,face/case_20_M_hard_2Ong6qegCkY_00_00_11_48.jpg,style/case_20_M_hard_2Ong6qegCkY_00_00_11_48.txt,"With an old, low voice, the male speaker speaks at a steady pace, carrying clear and heartfelt sadness.",broke into the darkness of our world.,/train/zjli/work/p60_disk2/data/talkvid_noraml_0602_clip/talkvid_noraml_0602/2Ong6qegCkY/clipped/2Ong6qegCkY_00_00_11_48.wav
